원문,토큰,태그_1위,설명,태그_전체
Column2,Column2,Q4.2,,Q4.2|N1|G3|H1|S5
영어,영어,Q3,,Q3|A13.6|Q4.2|N3.7|A13.7
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",In,Z5,,Z5|N4|G2.1|A5.3|X7
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",order,Z5,,Z5|N4|G2.1|Q1.2|A5.3
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",to,Z5,,Z5|N4|X7|G2.1|A9
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",improve,A2.1,,A2.1|A5.1|P1|S8|G2.2
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",students,S2,,S2|P1|G2.1|H1|I3.2
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",',Z5,,Z5|T3|C1|A3|I3.1
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",talents,X9.1,,X9.1|I3.1|I3.2|C1|S2
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",and,Z5,,Z5|Z3|I3.1|C1|T3
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",skills,X9.1,,X9.1|I3.1|X2.2|I3.2|A12
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",",",Z5,,Z5|Z3|K5.1|A2.2|E2
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",this,Z5,,Z5|M6|Z8|Z3|P1
"In order to improve students' talents and skills, this school strives to operate after-school programs in a substantial manner to reduce parents' private education expenses.",school,P1,,P1|H1|S5|L2|Z3
