원문,토큰,태그_1위,설명,태그_전체
한국어,한국어,Q3,"title: Language, speech and grammar description: Terms relating to language (including linguistic/grammatical terms)",Q3|Z2|S2|Z3|Z1
본교에서는 학생들의 소질 계발과 실력 향상은 물론 학부모님의 사교육비 경감을 위하여 방과후학교를 내실 있게 운영하고자 노력하고 있습니다.,본교에서는,Z3,"title: Other proper names description: Nouns that distinguish/identify a product, company, etc. (note – also includes acronyms)",Z3|Z2|Z1|Z5|M6
본교에서는 학생들의 소질 계발과 실력 향상은 물론 학부모님의 사교육비 경감을 위하여 방과후학교를 내실 있게 운영하고자 노력하고 있습니다.,학생들의,S2,title: People description: Term indicating that particular words relate to/denote people – e.g. students,S2|P1|Z1|S5|Z3
본교에서는 학생들의 소질 계발과 실력 향상은 물론 학부모님의 사교육비 경감을 위하여 방과후학교를 내실 있게 운영하고자 노력하고 있습니다.,소질,O4.1,title: General appearance and physical properties description: Terms relating to general appearance/physical properties,O4.1|O1|O1.1|B1|A1.1.1
본교에서는 학생들의 소질 계발과 실력 향상은 물론 학부모님의 사교육비 경감을 위하여 방과후학교를 내실 있게 운영하고자 노력하고 있습니다.,계발과,Z5,"title: Grammatical bin description: Prepositions/adverbs/conjunctions, etc",Z5|A2.2|T2|N4|A1.1.1
본교에서는 학생들의 소질 계발과 실력 향상은 물론 학부모님의 사교육비 경감을 위하여 방과후학교를 내실 있게 운영하고자 노력하고 있습니다.,실력,I3.1,title: Work and employment: Generally description: Terms relating to work and employment generally,I3.1|O4.1|K4|S1.2.5|A1.1.1
본교에서는 학생들의 소질 계발과 실력 향상은 물론 학부모님의 사교육비 경감을 위하여 방과후학교를 내실 있게 운영하고자 노력하고 있습니다.,향상은,A2.1,"title: Affect: Modify, change description: General/abstract terms denoting (propensity for) change",A2.1|A5.1|Z5|Q2.2|S8
본교에서는 학생들의 소질 계발과 실력 향상은 물론 학부모님의 사교육비 경감을 위하여 방과후학교를 내실 있게 운영하고자 노력하고 있습니다.,물론,Z5,"title: Grammatical bin description: Prepositions/adverbs/conjunctions, etc",Z5|Z4|Q3|Q2.2|A7
본교에서는 학생들의 소질 계발과 실력 향상은 물론 학부모님의 사교육비 경감을 위하여 방과후학교를 내실 있게 운영하고자 노력하고 있습니다.,학부모님의,Z1,"title: Personal names description: Nouns that distinguish/identify an individual (e.g. a first name and/or surname, a title of address)",Z1|Z3|S2|S2.1|Z2
본교에서는 학생들의 소질 계발과 실력 향상은 물론 학부모님의 사교육비 경감을 위하여 방과후학교를 내실 있게 운영하고자 노력하고 있습니다.,사교육비,Z3,"title: Other proper names description: Nouns that distinguish/identify a product, company, etc. (note – also includes acronyms)",Z3|Z1|Z2|G2.1|A1.1.1
본교에서는 학생들의 소질 계발과 실력 향상은 물론 학부모님의 사교육비 경감을 위하여 방과후학교를 내실 있게 운영하고자 노력하고 있습니다.,경감을,A2.1,"title: Affect: Modify, change description: General/abstract terms denoting (propensity for) change",A2.1|Z5|Z3|N3.2|N5
본교에서는 학생들의 소질 계발과 실력 향상은 물론 학부모님의 사교육비 경감을 위하여 방과후학교를 내실 있게 운영하고자 노력하고 있습니다.,위하여,Z5,"title: Grammatical bin description: Prepositions/adverbs/conjunctions, etc",Z5|M6|S8|Q2.2|S1.1.1
본교에서는 학생들의 소질 계발과 실력 향상은 물론 학부모님의 사교육비 경감을 위하여 방과후학교를 내실 있게 운영하고자 노력하고 있습니다.,방과후학교를,Z3,"title: Other proper names description: Nouns that distinguish/identify a product, company, etc. (note – also includes acronyms)",Z3|Z1|Z2|B3|H1
본교에서는 학생들의 소질 계발과 실력 향상은 물론 학부모님의 사교육비 경감을 위하여 방과후학교를 내실 있게 운영하고자 노력하고 있습니다.,내실,M6,title: Location and direction description: Terms depicting position of/point of reference for X,M6|H2|Z3|Z1|Z2
본교에서는 학생들의 소질 계발과 실력 향상은 물론 학부모님의 사교육비 경감을 위하여 방과후학교를 내실 있게 운영하고자 노력하고 있습니다.,있게,E6,"title: Worry, concern, confident description: Terms relating to (level of) apprehension/confidence, etc",E6|Z5|Z3|E3|X5.2
본교에서는 학생들의 소질 계발과 실력 향상은 물론 학부모님의 사교육비 경감을 위하여 방과후학교를 내실 있게 운영하고자 노력하고 있습니다.,운영하고자,X7,title: Wanting; planning; choosing description: Terms depicting (level of) desire/aspiration,X7|M1|T2|A1.1.1|M2
